,Reviews
96,"
My OnePlus Nord 2 5G/ Nord CE 2 5G connected to broadband wifi.Now if I recieve call or make a call,- I can't hear other person voice clearly (it's breaking),- and other person also can't hear my voice clearly.If I turn off the wifi during the call, everything works fine.It's really ridiculous that these costly phones doesn't work for such a basic required functionality.I've tried two brand new OnePlus Nord 2 5G and 1 Nord CE 2 5G, everywhere it's same.(I've posted the same question on OnePlus forum, waiting for some solution, but I can see there are many people facing the same problem without any solution)
"
97,"
This is my first one plus phone, very much disappointed .Hanging proboem is happening very frequently , i am not this phone for gaming as i never play game. Just using for talking , see video , whatsup . It used hang when i want to make phone call and i need to wait for some time it come back.Sound quality is very bad, not hearig properly . Having blue tooth problem ,I purchased this phone for 24k , high end versionIf some one give 15 k for this phone , i happily give them. As i purchased this phone for 24k i need to live with this atleaset for 1 year , my worst time it is .
"
98,"
Screen curvature at corner crops apps, screen looks very small. Battery backup good, quick charging good, light weight, camera ok, display ok. No stereo speakers and android 11 out of the box.
"
99,"
I have used it for more than a day and based on that, I am writing this review. The phone looks premium. I bought two of them and both the colours (Grey and Blue) are beautiful. It's a lightweight phone that gives a nice feel in hands. Comes with a transparent back cover that fits quite well. Camera quality is good but it should be improved with upcoming updates. I haven't checked 20x zoom yet. User interface is interesting but users like me need some time to become familiar with it. Charger definitely is faster than the supercars. It charges from 10 to 100 percent in 25-30 mins only without heating up. But the problem is the battery life. Without any high uses, it drained so fast. OnePlus must resolve this issue with upcoming updates. I am a moderate gamer and the phone doesn't hang at all, nor I experienced any heating issue. Touch is really smooth and the screen/display colours etc looks really wonderful (I am not a professional so can't write using professional jargons). Fingerprint sensor is fast enough and the animation associated with it looks beautiful. Overall it seems a nice phone to buy.May update the review after using it for a longer period.
"
100,"




                    The media could not be loaded.
                



 This mobile very nice but camra quality  is very low and bettary backup low
"
101,"
phone is very good, delivery is very good, features are very good, charging also very good ,video quality is very good when compared to other phones. it is amazing. except sound quality. and i noticed  it is not satisfactory & vibrating for sounds on  backside . i d'not know whether it is my piece fault or it is phone original structure. i put for replacement , then they send technician .he re commended for replacement if i am not satisfied.but they did not clarify for the replacement and put  file a claim for refund.but any way i don't want to take refund even if they do not replace the item as i liked the phone  performance except sound.
"
102,"
won't say it's pricey, definitely not that cheap either. this phone is very dear to me, for my day to day usage it fits into me like a ribbon and a gift. sweet performance and the battery and charging is legit the way i wanted. damn, a packed monster with ultra fast charging as a cherry on top definitely wins the tag that it holds. although android 12 didn't roll on this device yet but so for, this one just performs oneplus!!!definitely won't feel oppo if you guys are thinking it as otherwise but kind of does just a slight percent, definitely not more than 1, not gonna lie but in the end it is oneplus. truly. one fine produced phone in the market and glad that i chose this over the nord 2, had my heart over there too albeit wouldn't know about it.love this phone!!! everything is great, so far!
"
103,"
The mobile UI and themes are not good camera clarity is not good the battery will leads to half day in heavy use and full day battery life when it is less use inthis 25000 price range the features are very less the other brand phone are some what givinng more features inthis price rangeThe mobile refresh is slow and hangs some time and it is on 11 Android in this price range all mobile are coming 12 Android but not this mobile the mobile also heats very much the thems and UI is like 10000rs mobile i thick when it receive 12 Android update the ui and themes will change if any one wanted heavy use mobile please buy other mobile not this ,if only light use and only for phone calls you can buy it
"
104,"
Product service at Oneplus store is not good. After just 20 days since I bought I had an issue in speaker during calling (voice interrupt in upper speaker) when i reached the service center it worked there, so they didn't accept my service request on that day, again i faced the same issue so next day again i went to service center and spoke to service engineer there reg. issue so he checked phone, even he didn't knew how the issue is occurring, so finally they  they considered my service req. and deposited my phone now its more than 2 days, imagine u paid Rs.25K and have to keeping roaming to service center that to just within 20 days!so finally they said, they will check and let me know, but i asked them to provide replacement and now its more than 2 days since  i submitted my phone and they didn't responded yet.
"
105,"
I ordered this phone reading reviews online, but all is part of OnePlus marketing hype,1- camera quality is same as poco or most mi phone in 20k price segment2- battery charging superfast but draining the way a 200cc bike sucks the fuel.battery is the main issue ,
"
106,"
The phones look is outstanding but remember we don’t invest 25k just for that…the screen went off with in 40 days  of usage and when I sent it to the service centre (located somewhere in Bengaluru through the repair request placed on oneplus care app)..I received a call after  7 days saying that the screen has an internal damage..amazingly none of us can see any damage from outside still they kept on buzzing that the screen is damaged internally coz of some external pressure and hence no warranty cover and gave me an estimation of Rs.6872 for repair of screen…imagine..all this just after a 40day usage of phone…customer care and service centre guys are humble in explaining everything but I  really really hate this brand from now on….DONT FALL FOR THE CLAIMS Like SLIMMEST MODEL BLAH BLAH…WASTE OF MONEY PURE WASTE..be wise and choose a reliable brand or phone
"
107,"
Camera quality of phone is very good.It's light weight, nicely designed.Back cover, is provided with the phone.THE ONLY THING ANNOYING ME IS THE PHONE IS GETTING HEATED WHILE TAKING FOR MORE THE 7-8 MINUTES. FOR ME THATS THE AREA OF CONCERN.CAN #AMAZONE @ONEPLUS TEAM HELP ME OUT IF THIS???
"
108,
109,"
OnePlus kinda pulled this one out by a miracle.So the reason for this statement is because it feels too good to be true on the surface and if you are someone like me then there's a high chance you have watched every review of this phone already so lets see what we find :The build is like a Flagship, no issues and really well built feel in-hand. retains the audio jack on the sacrifice of the mute switch on the side but personally not a very big thing in usage at all. single speaker but loud like real loud. Type C with fast charging that charges the phone upto 70 in the first 20 mins then another 10-15 mins to reach 100 (that's like real fast for a charger guys). OS is the best side of this, default oxygen os with enough customization and do note that i was a Nova Launcher user so having an stock launcher that too on my daily driver means this thing rocks! . Performance is really good, easily beats any competition out there, no heating issues or battery drain issues or lag, had the best BGMI experience yet (Smooth+Extreme with constant 60FPS) thats really good and also good enough for any game you plan to play on the device. Cameras are a mix of the camera you would expect with a little more and for the price range they are great :)overall if you ask me (i got this phone for 17k) its a really great phone and you should just go with it, the best phone in the budget segment Period.
"
110,"
Was having high expectations while buying. I own a Samsung S20 FE 5G and this OnePlus Nord CE2 was bought as a gift for mom. I should say that I was disappointed. There is a slight lag issue(many already reported, which I ignored while buying).Another thing I noticed is that, the call recording feature is hectic. Like the new phones, it starts the recording after the voice warning. But my S20 FE doesn't warn like this.Another thing is, the auto call recording can be enabled for all non-saved numbers, but for contacts saved in your phone, you would have to manually add them one by one to the list so that auto-recording would happen. That's the most stupid thing. Because most of us would have 1000s of contacts. And adding them one by one to the list for auto-call recording is a tedious task.Another issue is, the camera is way too below average. Expected a better camera from this phone.And I initially noticed some heating issue on the screen side.One advantage is that, the weight is less. So carrying it or using it with your hands won't be a headache.
"
111,"
I have recently bought this phone 2 days back and I have exchanged my redmi note 7s for this which I was using for past 3 years,the exchange process was smooth and the delivery agent was helpful and very patient.Coming to the model,I m first time OnePlus user but people in my family were using OnePlus earlier, the camera quality and refresh rate is good I'm only disappointed by battery backup the phone charges in 15mins but at night when I sleep I switch off internet connection and the phone is on battery saver mode still phone lost 10% battery this is very disappointing that when I'm not even using it and the phone is new then why this is happening.
"
112,"
I have used the phone more than 4 months. Battery backup is not up to the mark. Intially the battery gets charged very quickly but now it takes time to get charged. Camera quality is average and in low light it is worst. Not expected from one plus.  Touch is also average. Display is also average. One thing I would say this phone looks very beautiful and better than Samsung phones of this budget. Overall it's an average phone.
"
113,"
Battery 🔋 life in average but takes very less time to recharge so it is okay. Camera is better than other phones of this range. Display is smooth and processor is as expected by one plus. I have previously used one plus 3T for 4 years. Definitely the quality of one plus phones is still up to mark. The only thing I didn't like is mirror back of phone as now a days better looking phones are available.
"
114,"
Pros: 1) Premium Looks2) SuperVOOC Fast Charging is really Fast. Charges within half an hour. Great Battery Backup.3) Great Cam4) Awesome Display5) On Screen Fingerprint Sensor is fast.6) Seamless UICons: 1) Gaming is good but I believe could have better at this price point owing to Dimensity Processor upgrade.2) Camera is good but not as per One Plus Standards.Miscellaneous:1) Free Silicon Back Cover2) Red Cable Membership with 3 months extended warranty and 3 months Spotify Premium.
"
115,"
It's nice mobile but the features it's shown about dedicated simcard slot is totally faild i hv insert 2 sim n micro sd card but after half or 1 hour sd card is got invisible,it's not showing on file manager , i did complaint against it n i got replacement too but the problem is same means it's failed on this, i have taken this mobile because of this feature only  n m totally disappointed
"
116,"
I wanted to gift a fone to my parents, after a research of almost 20 days I ended up taking 2 mobiles of this Nord 2 5g...1) User friendly interface, specially for elder ones.2) Battery is long lasting3) Fingerprint senser is fast enough.4) The camera is satisfactory.5) Sound quality is wonderful.Overall the fone is worth the money.
"
117,"
Bought this phone at 22K inr. So consider this price for my review.Camera is hit and miss. Sometime it takes amazing shot, sometimes it just fumbles.EIS with 1080p60 is amazing. You will capture more videos than expected.UI: Coming from MIUI. Its very easy for me to say Oxygen OS is amazing. No debate in thatBattery: Amazing, will change how you use your phone. 15 minute is enough for 4 hours of use. It gives so peace of mind, once you tried it you wont be able to live without it.FP sensor is okay not as snappy as side or rear one but still work fine. You wont notice it.Feel: Super Slippery buy a rugged case immediately. Amazing to look at like. But feels delicate.Price: for 22K its a steal. For original price add little more to get Nord 2T, Poco F4, Nothing phone(1) all these phone are affordable flagship.This phone is just a mid-range phone and should cost 22K for 25 you are better off with spending little more and get those above mentioned phones.
"
118,"
1.After one month use my genuine review,this is my fourth phone in my lifeI am not comapare but,my bad experience OnePlus, if you want brand phone you buy it, otherwise don't buy itPlease go through other brand in this price segment have a more flagshipBattery not goodTouch is slowCamara is poor qualityNo extra featuresOnly one thing is good zEn mode
"
119,"
If you are one plus fan then just to remind you this is like their first copyIt would have been better to buy redmi or oppo plus in this amountOne plus is one Plus only when mobile cost is 35+Not in this amountDon't buy
"
120,"
Camera quality.I bought OnePlus Nord ce 2 5g 2 days back and found that cam is worst than a mobile under 10k. I raised an support request and meanwhile have done factory reset to handover to Amazon. I'm not sure how but factory reset has resolved the cam issue but the technician didn't visit Instead he called me and guided me to install a software and said the product is good and closed the request. Not satisfied with the support and what if my cam shows up same issue. I feel replacement/refund should be done, as this will not be possible after 2/3 days for my order.
"
121,"
As mentioned in other reviews this phone indeed has decent camera quality compared to other phones in this budget band. But I found other features that are unique to this phone mentioned below.1.  NFC ( I know small feature but no other phone includes this one under 25K)2.  65W Charging3.  Wi-Fi 64.  Wi-Fi Tethering5.  LDAC Codec supportedand trust me Bahamas Blue color is awesome!!!
"
122,"
It's a decent phone in its class but you get better options in same price in the market . The wide angel camera is not that good. No zoom option in 64 mp camera mode. Didn't like the slow-motion video . Macro shot is not great to work with . Battery drains quite quickly in normal usage in a day. Speaker sound is not that good. Display lacks vivid colours as the Samsung display is way better in 15k budget phones if you ask me .Pros.1: 3.5mm jack port that was missing previously2: currently the cheapest OnePlus. so , it's affordable.3: decent camera in the class but not the best.
"
123,"
I have been using one plus since one plus 1, and last one phone I was using was one plus 6t, I purchased this phone as it was cheap and one plus was giving almost everything thing in it, but to my surprise, it is nothing like one plus. There is lot of connectivity issue in this ph, wifi doesn't works, u cannot talk on ph as u  cannot here the other person, Bluetooth not working, camera is below average, battery draining very fast.. very much disappointed. Will not recommend this phone.
"
124,"
For those who have used phones with 6000mAh batteries, the One Plus with a 4500mAh battery would look a bit much insufficient.Colour (Bahamas Blue) with a glass back is something that makes the phone eye catching.It’s light weight is another feature that makes the phone handling quite easy.Word or Excel cannot be opened directly from WhatsApp , I guess a package needs to be installed.The glass surface makes sliding and gliding thru the pages a very comfortable experience.Overall a few additional features and a min 5000 mAh battery would have made this phone worth the buy.
"
125,"
Friends don't go for it especially from Amazon, i got defective handset which was having pixels and hardware issues, technician of Amazon also said it's can't be rectified, since 15th April inam following for replacement or refund and both these Amazon and OnePlus not paying any heed my 25000 which i have upfront is stuck, so better but from retial outlet
"
126,"
The Phone is definatly good, but price is a bit high. no doubt its oneplus, and oneplus give a robust hardware which can run upto 3-4 years without any problem.My Criteria -5G - no need till 2023, let 5G network launch first.Charging/battery - 65w charger, best in segment.Proccessor - Mediatek, better if it was Snapdragon. (I compromise)Screen - Amoled.Camera - Not good (feels like I got scam)Features -Camera - camera is not good, it produce whitish pictures, Oneplus please update the software.Battery - Good, with fast chargingDesign - Its very handy phone with standard size.Processor - Its mediatek , better if it was snapdragonOverall - Camera is not good, may be in next software update camera will be fine.you can find better options in market. refer to the criteria above and make your decision.
"
127,"
1. Sound quality is good2. Slim and light weight3. Cam is best4. Charging speed is awesomeBad is1. Slider is Missing2. Dolby speaker3. Wireless charging
"
128,"
Overall, this is slightly ‘above average’ phone.Camera is average.Battery is below average.Charging is excellent.Software is excellent.Display is just average.
"
129,"
I bought it for my father, who is an average user with only using phone for calling, reading news, watching youtube, messaging..Just common stuff.Not gaming.So I opted this over Samsung(Which was the priority;A52s) because this has an headphone jack, good speaker,90 hz oled screen, clean and smooth software and good processor.(Same features in A52s but 6000 cheaper).And he didn't even have a complaint till now.So I am summarizingPros:Excellent Screen-90 Hz oledGood & Clean software-Oxygen OS 11Loud speaker- Eventhough monoSuper Fast charging-65 WAbove average battery performanceGood processing-Dimensity 900Better Haptics than SamsungCons:Below average camera-Eventhough the outcome is very sharp and detailed, the colouring and skin tone is very bad.Need big improvements through software update.If your first priority is camera look for samsung,10x better photos and dynamic rangeSo consider all this I have mentioned before buying.
"
130,"
CameraDisplayTouchSelfi canPerformance10/10A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm  A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm  ,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm  A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm,,,A wonder phone, don't care abt negative reviews, just go through with this phone, good battery backup, nice camera , display is osamm  ,
"
131,"
I have ordered this item after doing lot of research for a good phone within my 25k budget. I am not so camera enthusiastic, gaming and chatting person and needed some good phone within my budget meeting my basic expecations like good battery backup, latest Android OS, touch, UI, screen size, weight, call recording options etc..And I have heard lot of good impressions on the OnePlus phones from past.But I am very disappointed by ordering this item as it had some heating issues. The phone heats so fast while charging and using it for continoisly 15-20 mins. I had to return this item after calling customer care and inspecting the phone by installing mInspect app as they found some problem with charging. If you are fine with heating issues then go ahead buying this product .As I am not so camera enthusiastic person I could not judge much on the camera front. But could take some decent pictures with good image clarity. Also could not check much on the battery as it had heating issues.But touch sensitivity is all good and a good phone which meets your basic expectation within 25k.One plus could have given more focus on resolving the heating issues for this type of flagship phone. And its light weight phone (173 gm) which is easy to carry and handle. Screen size (6.43 inches) is also standard which is enough for viewing videos and chatting. Overall if you are fine with heating issues then its a good option within 25k budget.
"
132,"
-Camera quality is worst. Any china phone can beat it's quality.-Talking about gaming it heats up.-Not good for video callsDid not expect this from one plus- proximity sensor issue. Phone gets muted while talking due to sensor issue.- phone call is answered when in pocket. No pocket mode optionWorst phone ever
"
133,"
its a superb phone ..i had few problems in mine.. FRONT camera was the main problem ...its shows errors in some application too like G play...I WOULD LOVE TO HAVE REPLACEMENT BUT seller didn't let that happen .. so getting mine refund
"
134,"
I am first time user of OnePlus mobile i bought this mobile on 1 May 2022 this is 3rd day I did not find any issue like heating or battery getting darinout soon I am not gamer still the phone is really awesome i would  really want to give geniune feedback.Oneplus Nord CE 2 is awesome phone. Before using OnePlus I have used Vivo 11 pro which is also one my best because of its 25mpix camera fast charging and battery life.Below are my ratings as per usagesFinger print reader 4/5Screen display 4/5Selfie camera 3/5Front main camera 4/5Battery life 4/5Phone body 4/5No phone heating issue
"
135,"
i am using this phone from last 15 days the performance that i got is osam fantastic i loved it my 25k worth it also a good quality of fingerprint sensor a camera quality somewhat ok according to price and also display is best in the segment we can see that oneplus is growing beacuse of its best affordable and featured smartfones best i loved it.
"
136,"
I am writing this review after using the phone for a week. The phone and it's performance is awesome camera is also gud there are many hidden features which needs to be searched in YouTube or Google. The charging speed is very good. I have rated 4 stars only bcoz of battery life is not upto mark of we use the phone regularly battery wil last long for one day. Over all in this budget it's an good phone to buy.
"
137,"
This is for the people who want to go with a stable brand.If you want to buy iPhone 11 but due to budget constraints you are not able to buy then this is the phone which is handy to use does all the necessary work, and captures great images. The looks are awesome but the plastic back panel disappointing it could be glass. The good thing is you get one plus stickers and a plastic back cover with damage protection (the design of the back cover in a way that it protects your mobile glass from the damage the corners are edgy) so you don't need to buy it with extra cost. Just go for it I bought it for 23999. Very smooth and slick handset. It's not grey...complete mirror but with a black tone. silver you can consider. light weight.
"
138,"
I experienced a problem in searching for a phone, no if you stored a no with +91 then this will not search with +91, not working well in comparison to Samsung, this phone is using basic Google android software.Also while using the call recording feature it always gives a warning to another person ""this call is being recorded"" so waste.Otherwise, this phone is working well...
"
139,"
Do not exchange your mobile.I have purchased Nord CE with in exchange of Nokia 6.1 plus for Rs 3250/-.At the time of delivery, delivery boy rejected saying there is scratches on side panel & it has dents.After use of 3.6 year how can there will be no scratches or dents.There was no diagnosis done at the time of exchange. Neither they have any other option which help's them to pace correct price & avoid customer from embarrassing moments at the time of delivery.
"
140,"
It's an average phone, don't expect too much on this phone.Pros - Light weight, Battery will charge very fast.Cons - battery is not even come for a full day use. Camera quality is not great. Touch of 90 HZ also not that great.My view - Samsung M31s is better than with in this budget.. battery, Camera and all aspect. It's my earlier phone.
"
141,"
Pros:Battery lifeCamera clarity is goodSmoothSuitable for gamingGorilla glassCons:Android version 11 but not latest one 12Bit bulkyBattery life is good 4500MAH but still will get 5000mah for less price in onepluseHowever it's really worth for 24000 budget..
"
142,"
Writing this review after using for 2 months.After you Samsung M51 for an year, thought of changing to OnePlus as it is one of the best flagship brand(I thought but it's not).Pros:1. Great looks2. Light weight3. Good displayCons:1. Buggy OS, seriously needs an update. Hangs a lot, many app crashes. Many apps doesn't preserve it's state once minimised.2. Camera over beautification3. Single speaker4. Battery life is hardly half day for normal usage. But good thing is super fast charging.5. Many basic default options are missing when Compared to Samsung like photo editing, collage, editing the values in calculator.
"
143,"
This is my first one plus phone,liked this product very much.Pros: battery back up,fast charging,display,good refresh rate,pages and apps loading very fast.One speaker but very great sound and good clarity over call.Camera is good but not best, definitely oppo Vivo lover will expect filter type photos from camera but in one plus this is still the pros that it gives the real image with no filter that keeps this phone aside from the fake photos of Vivo oppo real me.Verdict: Don't trust the YouTube reviews that proves that real me and mi is better than one plus on this range. Blindly buy this product and enjoy the smooth and stylish Phone.
"
144,"




                    The media could not be loaded.
                



 The Overall Phone Is Good But Camera Has Needs To Improve But Camera Ok In This Price Range Overall Phone Is Best Everything Thing In This Phone Is Perfect
"
145,"
This is only brand nothing else. Not worthy, pricing is very high than other brands but the efficiency is same like generic brand.Camera quality not good and battery backup is only 8 hour.
"
146,"
I bought this phone on the 1st day of launch without knowing what I am going to get from it. But after receiving the phone, I'm quite happy. The phone is fast, light & good in performance. The only drawback for me is that the battery charger doesn't holdup well. For someone who uses the phone only for work & internet, I have to charge twice daily. But it does charge in 15 mins! It's a good buy though!
"
147,"
Best phone for low budget buyers. Review after usage of more than amonth1. Front Camera decent enough.2. Rear camera is excellent.3. Processor is powerful and works smoothly whenever you are gaming.4. Excellent purchase of OnePlus for budget buyers.
"
148,"
Battery life is good, easily lasts a day for my usage, with frequent chat updates, some music playing, once or twice camera usage etc.Display quality, photo quality, sound quality are all above average.However, a bug that disappointed me is that the fingerprint sensor doesn't turn on even in always on display mode. And the bug is so bad, that almost always, the power button has to be pressed for unlocking the phone and at times even then, the fingerprint sensor doesn't give prompt and so the pin has to be entered. Pathetic, I'd say.Worse still is, as understood from the OnePlus community website, the bug is known to the developers, but they've been unable to bring an resolution to this issue till now.
"
149,"
Mobile looks awesome and slim grip is good, camera is average, feel good in hand but back glass is still a problem in summer time as it looks very cheap when you see lots of finger prints on it with very less use.Every thing is fine but the best part is battery charging it just takes only 30-32 minutes to charge 100%Overall experience is good with this mobile.
"
150,"
Phone is very slim and light weight having mirror look at backside.Camera quality is decent not so good for photography and 4k recording is also decent like 1080p recording.There is no heating issue with phone no lag still when I was using wifi with several apps open then it got stuck once when a call came but that's not happening frequently.Overall it's a nice phone with everything upto the mark and having decent camera and awesome speaker sound quality.
"
151,"
In comparison to many other phones in the same segment, this model does not come upto the mark. Starting on a full charge in the morning the battery drained very fast without any usage and by evening it was 50%. In Oppo, for instance, which was my earlier phone (unfortunately it was stolen), I could watch 2 to 3 films one after another and still the battery would last me the whole day for other heavy usage things. Apart from this the 1+ battery charges very slow. The screen size is smaller, there is half a centimetre gap at the bottom where the screen does not come down right to the edge of the phone. That screen gap irritates as does the time display where the first number is in red. Another irritant as the eyes misread it most of the time! Sound quality is shrill and not nice. Colour display is dull Camera and the pictures taken are ok.
"
152,"
Overall good phoneCamera: very goodBattery: good (can be use 24 hrs after full charge)Charge: very good. Only 40-45 min will take.Very slimLooking goodDisplay fingerprint fast
"
153,"




                    The media could not be loaded.
                



 Nice
"
154,"




                    The media could not be loaded.
                



 Mobile design is very nice . Low weight is superb . Only disadvantage is Android 12 is not available . Still it comes with Android 11 only
"
155,"
I have been using this phone for about a week now and i am totally impressed with the performance if it.Value for money phone incase of specs.Battery decent enough which last for a day being extensively used for calling and texting.Best part is the charging as dont have to worry as its charges within no time.
"
156,"
I purchased before 2 day's, this phone is as per my expectations like classy look, processor is fast, battery backup is ok not upto the mark and camera quality is good...rest I will tell later after using one month.Value for money phone
"
157,"
Totally water of money.  Never recommend this product to any one. I Wi-Fi not working in mobile. Battery performance not upto the mark. I one just like naam bade Darshan chhote. Overall 1 star out of 5. If you are purchasing Rs 25k Mobile and not working Wi-Fi, how disgusting it is. Having 50mbps plan and getting only 1 mbps speed
"
158,"
Pros : 1. Indisplay fingerprint sensor.  2.100% charging in just 30 min  3. Stylish design  4. Decent camera quality  5. Oxygen OS layerCons: 1. Phone is getting little heat on continues useage.  2. No water proof IPX rating
"
159,"
So it's been about a week that I am using this phone and I don't regret buying it. Its 90 Hz refresh rate is so smooth. Got two security patch updates too in a week which is really a great thing.The camera is really good. The phone looks premium and is lightweight and slim. It feels good in hand.Even though the speaker is mono firing speaker and not stereo speakers, it really is very loud. The screen is beautiful and there's Gorilla Glass 5 protection on the front and back.Now, coming to the battery, it easily lasts a whole day and it charges real quick and you're ready to use it whole day (100% battery)after just 35-40 mins of charge.I do casual gaming (BGMI and COD) and I didn't find any lag or jitter. So no complain about that.So overall satisfied with this phone so far.
"
160,"
As it is said to be trusted brand.I don't feel it really.Small small features are missing. Speed dial is not there which is available in nokia 1100 phone also. This is one example.I was POCO F1 user for 3 years. Not single time it got hanged. But this phone hanged 3 times in last 10 days. Black colour display come for 1 minute.Camera of POCO is 12 MP and this is 64 MP. STILL poco is best in zooming quality. Only point that camera captures colour in superb way than poco.Finger sensor is slower , unlock is slowerOnly point for me is good in this phone is fast charging which I don't know how many month of years remain same.And 2nd is dedicated slot for memoryThanks but don't go for this phone.
"
161,"
Battery : 8/10Camera : 6/10Screen resolution :8/10Finger print : 8/10Call recording notification : 0/10 ( hell with privacy)Heating : NO issue at allRam Boost : YesHDR 10 Support : YesCharging speed:10/10Best things : Memory card slot + Headphones jackCan be better :1. Need huge improvement in camera module.(must)2. Could have used better chipset.3. Phone hangs something while watching movies/ videos. Even in YouTube.4.Allow oneplus dialer instead of stock google so that we can start call recording without notifying. (must)
"
162,"
Everything is fine in this phone but the build quality looks much cheaper and camera quality is worst then 10K phones and genuinely my older phone Realme 5 Pro gives much better picture quality then this phone. Previously I have used OnePlus X too and my experience was very good with that phone that's why I bought OnePlus phone again.
"
163,"
Model:One plus Nord CE 2 (grey) 6 GB , 128GBPrice:18000 after exchangeNot so smooth in operation. There is time lag unlike other flagship phones of same range. Moreover, the fingerprint reader is also lagging. Camera quality is good in daylight.Sometime, the phone get stuck for around 10 seconds.Best design and build quality.
"
164,"
This model looks like oppo mobile every feature looks like oppo mobile that brand value of one plus already arised by oppo by this model..... don't buy this model better to go for 35k + models this phone have cheap body and we are paying money for Just Shak of brand.....one more important thing this Amazon cheating us don't buy in this app....this mobile over heats while using mobile data so I informed to Amazon customer service but they was not ready to replace or refund and simply said "" refund r replacement not apply for over heating"" they really chested me and I am regretting for choose Amazon to buy this mobile..... I am honestly saying don't buy in Amazon they are cheating us for their profits....
"
165,"
Pretty much everything is good, as an android phone most things remain same, refresh rate and charging speed are the top pros that I found and talking about top cons, they will surely be nothing but I think there could have been better camera quality in this budget segment.
"
166,"
Performance: 9/10Camera: 8/10Battery: 8/10 will last for a day if you are heavy user. In power saving mode battery performance good last for 72 hrLookwise :- 10/10 Premium look as compared to other in same range
"
167,"
I have used this mobile of 8gb ram for a month. For 1+ fans, this mobile is awesome at below 25000 price, this mobile looks stylish, performance is too fast, graphics is awesome for high end games. As this mobile is a 5g mobile and if your budget is Rs20000-25000, you should buy this mobile. In box it does contain a fast charger.
"
168,"
1. Phone Call problem  While making a phone call sometimes the other speakers does not hear my voice and sometimes I can't hear the other speaker. I bought on 13th May it's not even worth 5k phone.2. Touch screen isn't working well too3. Amazon has no replacement  policyPlease do not make the same mistake like I you can go for other brand. I bought this phone after reading the reviews and I got scammed. This phone doesn't deserve one star .
"
169,"
Having connectivity problem. Call snaps after sometime or the other side can't hear. I have changed SIM and Provider but the same problem happens. OnePlus is not doing anything.Amazon please replace the phone as i bought on the faith of your brand. I didn't buy it offline from store even when i was getting in same price because i value amazon more than brand store of OnePlus.
"
170,"
Best smartphone by one plus1. Received my phone in just one day.2. Battery back up too good 👍3. Running all apps well, smooth4.price range is also okk5. But this phone brightness is not up to the mark. Rest all okkThanks to Amazon
"
171,"
This phone feels like a solid product. The OS is nice and clean (Im coming from stock Android). The charging speed is amazing. The screen bright, smooth and responsive. Cameras decent. Inscreen finger print sensor is fast. Well balanced weight.
"
172,"
1) Best Camara2) Wow quality Screen3) Easy to Use4) Good loud Sound quality5) Looks wise 👌This phone 📱 is health hazard which releases more frequencies as recommended.So not recommended to purchase
"
173,"
Battery doesn't go well throughout the day, you need to charge it twice for perfect usage.The camera is also not upto the mark comparing with other OnePlus models.
"
174,"
Good phone. But camera is average like 16000/- phone. Thay given mono speaker, in this price range we can get Dolby on other phone. Any way performance is good. Very fast like blink of your eyes. But much over priced. It should come in 22k to 23k range.
"
175,"
On the name of Oneplus brand it's nothing but useless mobile, camera is average, funtouch OS as usual not upto mark, it's better u can opt for IOOQ if u want fast performer mobile.. Vivo is just making us fool by promoting same configuration with one plus.
"
